"StudentID","BMW","Ford","Infiniti","Jeep","Lexus","Chrysler","Mercedes","Saab","Porsche","Volvo"
1,6,8,1,8,4,5,4,4,7,7
2,8,7,3,6,4,1,6,7,8,5
3,8,2,3,6,3,2,7,4,4,4
4,7,4,3,6,6,1,6,3,5,5
5,6,2,3,5,5,1,3,3,6,3
6,6,7,2,6,5,1,8,4,8,2
7,1,6,5,7,5,2,6,6,5,6
8,3,6,5,4,5,1,4,2,1,1
9,6,7,4,8,4,1,6,6,8,5
10,6,7,4,9,3,1,2,5,1,8
11,5,8,6,7,7,1,6,3,7,3
12,6,6,5,4,9,1,8,4,7,1
13,5,2,7,2,7,1,7,5,7,2
14,7,4,8,3,8,1,7,6,1,4
15,7,2,6,6,4,1,4,1,2,1
16,8,6,3,8,2,1,4,9,2,1
17,6,4,3,4,3,1,3,3,7,3
18,3,8,3,9,6,5,1,3,1,6
19,9,2,7,5,4,1,8,6,3,1
20,7,5,3,5,7,2,6,3,4,3
21,6,8,6,8,6,7,6,4,2,7
22,6,4,2,5,3,1,6,6,9,2
23,2,4,2,1,1,4,3,2,4,1
24,8,3,5,2,9,1,4,7,6,1
25,8,4,5,7,5,1,4,6,7,2
26,4,7,4,5,2,1,4,4,7,3
27,6,2,5,4,7,3,6,1,1,3
28,3,8,1,4,7,5,6,1,2,9
29,9,4,5,7,3,3,6,6,8,7
30,8,3,3,5,4,1,6,7,9,1
31,6,8,3,7,5,1,3,5,9,4
32,6,5,3,4,6,1,6,5,7,4
33,5,4,4,6,4,1,5,7,6,8
34,4,5,2,7,6,1,4,4,9,2
35,7,8,4,8,5,1,6,7,4,4
36,8,7,5,9,6,1,3,4,2,1
37,5,4,6,3,2,1,8,5,7,1
38,8,4,2,6,5,1,7,3,9,1
39,6,7,5,4,8,1,3,2,9,1
40,8,6,2,7,9,1,5,3,4,1
41,6,5,5,6,6,4,7,7,7,5
42,7,5,1,4,2,1,3,9,8,7
43,5,6,3,5,6,2,6,5,2,4
44,9,4,6,2,5,1,8,2,3,7
45,8,3,4,2,7,1,6,5,9,1
46,6,2,3,8,4,1,6,8,1,9
47,6,4,3,5,2,1,4,6,6,5
48,2,9,2,7,4,5,6,5,6,6
49,7,8,4,7,8,1,5,5,7,4
50,8,5,7,6,6,2,6,5,4,3
51,2,2,6,3,4,4,4,5,6,1
52,8,9,4,7,5,2,1,3,6,1
53,7,5,5,6,7,4,7,6,8,5
54,8,6,5,7,6,4,7,8,9,8
55,7,6,7,4,7,7,8,1,6,7
56,6,6,2,7,8,1,5,9,3,1
57,6,7,2,7,2,1,5,1,5,4
58,6,1,4,8,3,1,5,7,9,2
59,7,5,5,6,4,2,6,7,4,3
60,2,4,3,6,4,1,4,6,7,7
61,7,6,2,9,5,1,7,3,8,4
